ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
hyperlipémie	ipERlipemi	hyperlipémie	NOM	NOM	f	s		#_i|p_E_R|l_i|p_e|m_i_#	h_y|p_e_r|l_i|p_é|m_i_e	0	0,01
hyperplan	ipERpl@	hyperplan	NOM	NOM	m	s		#_i|p_E_R|p_l_@	h_y|p_e_r|p_l_an	0	0,01
hyperréactivité	ipEReaktivite	hyperréactivité	NOM	NOM	f	s		#_i|p_E|R_e|a_k|t_i|v_i|t_e	h_y|p_e|rr_é|a_c|t_i|v_i|t_é	0	0,01
hypersonique	ipERsOnik	hypersonique	ADJ	ADJ	m	s		#_i|p_E_R|s_O|n_i_k_#	h_y|p_e_r|s_o|n_i_qu_e	0	0,01
hypersustentateur	ipERsyst@tat9R	hypersustentateur	ADJ	ADJ,NOM	m	s		#_i|p_E_R|s_y_s|t_@|t_a|t_9_R	h_y|p_e_r|s_u_s|t_en|t_a|t_eu_r	0	0,01
hypertendus	ipERt@dy	hypertendu	NOM	NOM	m	p		#_i|p_E_R|t_@|d_y_#	h_y|p_e_r|t_en|d_u_s	0	0,01
hypertensions	ipERt@sj§	hypertension	NOM	NOM	f	p		#_i|p_E_R|t_@|s_j_§_#	h_y|p_e_r|t_en|s_i_on_s	0,14	0,01
hypertrophie	ipERtRofi	hypertrophier	VER	NOM,VER			ind:pre:3s;	#_i|p_E_R|t_R_o|f_i_#	h_y|p_e_r|t_r_o|ph_i_e	0,07	0,01
hypertrophiée	ipERtRofje	hypertrophier	VER	VER,ADJ	f	s	par:pas;	#_i|p_E_R|t_R_o|f_j_e_#	h_y|p_e_r|t_r_o|ph_i_é_e	0,07	0,01
hyperémotive	ipERemOtiv	hyperémotif	ADJ	ADJ	f	s		#_i|p_E|R_e|m_O|t_i_v_#	h_y|p_e|r_é|m_o|t_i_v_e	0	0,01
hypnotiques	ipnotik	hypnotique	NOM	ADJ,NOM	m	p		#_i_p|n_o|t_i_k_#	h_y_p|n_o|t_i_qu_es	0,07	0,01
hypnotiseuse	ipnotiz2z	hypnotiseur	NOM	NOM	f	s		#_i_p|n_o|t_i|z_2_z_#	h_y_p|n_o|t_i|s_eu_s_e	0	0,01
hypnotisées	ipnotize	hypnotiser	VER	VER	f	p	par:pas;	#_i_p|n_o|t_i|z_e_#	h_y_p|n_o|t_i|s_é_es	0,27	0,01
hypocapnie	ipokapni	hypocapnie	NOM	NOM	f	s		#_i|p_o|k_a_p|n_i_#	h_y|p_o|c_a_p|n_i_e	0	0,01
hypocauste	ipokost	hypocauste	NOM	NOM	m	s		#_i|p_o|k_o_s_t_#	h_y|p_o|c_au_s_t_e	0	0,01
hypocentre	ipos@tR	hypocentre	NOM	NOM	m	s		#_i|p_o|s_@_t_R_#	h_y|p_o|c_en_t_r_e	0	0,01
hypochlorite	ipoklORit	hypochlorite	NOM	NOM	m	s		#_i|p_o|k_l_O|R_i_t_#	h_y|p_o|ch_l_o|r_i_t_e	0	0,01
hypoglycémiques	ipoglisemik	hypoglycémique	ADJ	ADJ	f	p		#_i|p_o|g_l_i|s_e|m_i_k_#	h_y|p_o|g_l_y|c_é|m_i_qu_es	0,07	0,01
hypomaniaques	ipomanjak	hypomaniaque	NOM	NOM		p		#_i|p_o|m_a|n_j_a_k_#	h_y|p_o|m_a|n_i_a_qu_es	0	0,01
hypophysaire	ipofizER	hypophysaire	ADJ	ADJ		s		#_i|p_o|f_i|z_E_R_#	h_y|p_o|ph_y|s_ai_r_e	0,07	0,01
hypoplasie	ipoplazi	hypoplasie	NOM	NOM	f	s		#_i|p_o|p_l_a|z_i_#	h_y|p_o|p_l_a|s_i_e	0	0,01
